Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability;XRRigPosition;CameraPosition;GazeHitObject;GazeHitPosition
1052100;1000006165764027119;63789510872536;(-3.298, 0.937, 3.420);(-0.009, -0.663, 0.009, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052122;1000006165874072184;63789510872647;(-3.297, 0.937, 3.420);(-0.009, -0.662, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052140;1000006165964106916;63789510872737;(-3.297, 0.937, 3.420);(-0.009, -0.662, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052159;1000006166059141464;63789510872825;(-3.298, 0.937, 3.419);(-0.009, -0.662, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052181;1000006166169187553;63789510872936;(-3.297, 0.937, 3.420);(-0.009, -0.662, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052200;1000006166264224578;63789510873037;(-3.298, 0.937, 3.419);(-0.009, -0.662, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052222;1000006166374264229;63789510873148;(-3.297, 0.937, 3.420);(-0.009, -0.662, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052241;1000006166469296246;63789510873236;(-3.298, 0.937, 3.419);(-0.009, -0.662, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052259;1000006166559332587;63789510873325;(-3.298, 0.938, 3.419);(-0.009, -0.662, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052281;1000006166669373391;63789510873437;(-3.297, 0.937, 3.419);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052300;1000006166764406257;63789510873536;(-3.297, 0.937, 3.420);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052322;1000006166874451136;63789510873648;(-3.298, 0.937, 3.419);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052341;1000006166969487310;63789510873736;(-3.297, 0.937, 3.419);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052359;1000006167059519338;63789510873825;(-3.298, 0.937, 3.418);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052381;1000006167169565227;63789510873936;(-3.297, 0.937, 3.420);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052400;1000006167264601912;63789510874036;(-3.298, 0.937, 3.420);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052422;1000006167374642828;63789510874148;(-3.298, 0.937, 3.421);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
