Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability;XRRigPosition;CameraPosition;GazeHitObject;GazeHitPosition
1082910;1000006319872366584;63789511027072;(-3.298, 0.938, 3.419);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1082929;1000006319967404608;63789511027072;(-3.298, 0.938, 3.419);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1082948;1000006320062439781;63789511027073;(-3.298, 0.938, 3.419);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1082969;1000006320167476160;63789511027073;(-3.298, 0.938, 3.419);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1082988;1000006320262514879;63789511027073;(-3.298, 0.938, 3.419);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083010;1000006320372556567;63789511027144;(-3.298, 0.937, 3.420);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083029;1000006320467590263;63789511027236;(-3.297, 0.937, 3.421);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083048;1000006320562621862;63789511027336;(-3.297, 0.937, 3.420);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083069;1000006320667663363;63789511027436;(-3.298, 0.938, 3.419);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083088;1000006320762699430;63789511027537;(-3.298, 0.937, 3.420);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083110;1000006320872737693;63789511027636;(-3.297, 0.937, 3.421);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083129;1000006320967775986;63789511027736;(-3.298, 0.937, 3.421);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083148;1000006321062811527;63789511027836;(-3.298, 0.937, 3.421);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083169;1000006321167848311;63789511027936;(-3.298, 0.937, 3.421);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083188;1000006321262887252;63789511028036;(-3.298, 0.937, 3.421);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083210;1000006321372929054;63789511028149;(-3.298, 0.937, 3.422);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083229;1000006321467963154;63789511028237;(-3.297, 0.937, 3.422);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083248;1000006321562996738;63789511028336;(-3.297, 0.936, 3.423);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083269;1000006321668038152;63789511028436;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083288;1000006321763072979;63789511028536;(-3.298, 0.936, 3.423);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083310;1000006321873111835;63789511028647;(-3.297, 0.936, 3.423);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083329;1000006321968150327;63789511029058;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1083347;1000006322058184612;63789511029058;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
