Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;XRRigPosition;CameraGlobalPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability;GazeHitObject;GazeHitPosition
5860025;1000114194328609539;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.033, -0.003, 0.999);(0.000, 0.000, 0.000);VALID;(0.037, -0.001, 0.999);(-0.034, 0.000, 0.000);0.06342418;VALID;(-0.106, -0.004, 0.994);(0.034, 0.000, 0.000);0.06392417;0.4666357;0.1346176;None;(0.000, 0.000, 0.000)
5860026;1000114194333613343;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.033, -0.003, 0.999);(0.000, 0.000, 0.000);VALID;(0.037, -0.001, 0.999);(-0.034, 0.000, 0.000);0.0634696;VALID;(-0.107, -0.003, 0.994);(0.034, 0.000, 0.000);0.06391968;0.4655049;0.2874882;None;(0.000, 0.000, 0.000)
5860027;1000114194338617106;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.034, -0.003, 0.999);(0.000, 0.000, 0.000);VALID;(0.037, -0.001, 0.999);(-0.034, 0.000, 0.000);0.06344794;VALID;(-0.107, -0.003, 0.994);(0.034, 0.000, 0.000);0.06397535;0.4649733;0.6257038;None;(0.000, 0.000, 0.000)
5860028;1000114194343620858;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.034, -0.003, 0.999);(0.000, 0.000, 0.000);VALID;(0.037, -0.001, 0.999);(-0.034, 0.000, 0.000);0.06345175;VALID;(-0.107, -0.002, 0.994);(0.034, 0.000, 0.000);0.06399492;0.4650804;0.6491759;None;(0.000, 0.000, 0.000)
5860029;1000114194348624597;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.034, -0.002, 0.999);(0.000, 0.000, 0.000);VALID;(0.037, -0.001, 0.999);(-0.034, 0.000, 0.000);0.06346492;VALID;(-0.108, -0.001, 0.994);(0.034, 0.000, 0.000);0.06409085;0.4630577;0.6331185;None;(0.000, 0.000, 0.000)
5860030;1000114194353628324;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.035, -0.002, 0.999);(0.000, 0.000, 0.000);VALID;(0.036, -0.001, 0.999);(-0.034, 0.000, 0.000);0.06347485;VALID;(-0.108, -0.001, 0.994);(0.034, 0.000, 0.000);0.06410728;0.462827;0.609743;None;(0.000, 0.000, 0.000)
5860031;1000114194358632040;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.035, -0.001, 0.999);(0.000, 0.000, 0.000);VALID;(0.036, -0.001, 0.999);(-0.034, 0.000, 0.000);0.06348234;VALID;(-0.109, 0.000, 0.994);(0.034, 0.000, 0.000);0.06405544;0.4617735;0.5736317;None;(0.000, 0.000, 0.000)
5860032;1000114194363635744;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.035, -0.001, 0.999);(0.000, 0.000, 0.000);VALID;(0.036, -0.001, 0.999);(-0.034, 0.000, 0.000);0.0634801;VALID;(-0.110, 0.001, 0.994);(0.034, 0.000, 0.000);0.06392363;0.4606141;0.6191514;None;(0.000, 0.000, 0.000)
5860033;1000114194368636108;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.035, -0.001, 0.999);(0.000, 0.000, 0.000);VALID;(0.035, -0.001, 0.999);(-0.034, 0.000, 0.000);0.06348854;VALID;(-0.110, 0.001, 0.994);(0.034, 0.000, 0.000);0.06395676;0.4617258;0.6080242;None;(0.000, 0.000, 0.000)
5860034;1000114194373636607;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.035, -0.001, 0.999);(0.000, 0.000, 0.000);VALID;(0.035, 0.000, 0.999);(-0.034, 0.000, 0.000);0.06349337;VALID;(-0.109, 0.001, 0.994);(0.034, 0.000, 0.000);0.06370737;0.463271;0.6174498;None;(0.000, 0.000, 0.000)
