
Time;Landmark_name;Landmark_viewPos
5/30/2022 12:37:07 PM;R2L1_Bridge;(0.932, 0.462, 284.970)
5/30/2022 12:37:07 PM;R2L2_Billboard;(0.616, 0.510, 271.700)
5/30/2022 12:37:07 PM;R2L3_Church;(0.595, 0.884, 265.600)
5/30/2022 12:37:07 PM;R2L4_FireStation;(0.446, 0.672, 280.400)
5/30/2022 12:37:07 PM;R2L5_SkyScraper1;(0.139, 0.546, 219.000)
5/30/2022 12:37:07 PM;R2L6_LionStatue;(0.394, 0.231, 281.500)
5/30/2022 12:37:07 PM;R2L7_SkyScraper2;(0.617, 0.335, 214.000)
