Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;XRRigPosition;CameraGlobalPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability;GazeHitObject;GazeHitPosition
5876089;1000114274678973508;63789618981318;(-0.885, 1.638, 2.874);(-0.009, 0.999, -0.032, -0.002);(0.000, 0.000, 0.000);(-0.885, 1.638, 2.874);(-0.004, -0.064, -0.998);VALID;(0.039, 0.036, 0.999);(0.000, 0.000, 0.000);VALID;(0.048, 0.034, 0.998);(-0.034, 0.000, 0.000);0.05192116;VALID;(0.030, 0.038, 0.999);(0.034, 0.000, 0.000);0.05414339;2;0.688879;None;(0.000, 0.000, 0.000)
5876090;1000114274683975003;63789618981319;(-0.885, 1.638, 2.874);(-0.009, 0.999, -0.032, -0.002);(0.000, 0.000, 0.000);(-0.885, 1.638, 2.874);(-0.004, -0.064, -0.998);VALID;(0.038, 0.035, 0.999);(0.000, 0.000, 0.000);VALID;(0.047, 0.033, 0.998);(-0.034, 0.000, 0.000);0.05185513;VALID;(0.029, 0.038, 0.999);(0.034, 0.000, 0.000);0.05403914;2;0.6727806;None;(0.000, 0.000, 0.000)
5876091;1000114274688976493;63789618981319;(-0.885, 1.638, 2.874);(-0.009, 0.999, -0.032, -0.002);(0.000, 0.000, 0.000);(-0.885, 1.638, 2.874);(-0.004, -0.064, -0.998);VALID;(0.038, 0.035, 0.999);(0.000, 0.000, 0.000);VALID;(0.047, 0.033, 0.998);(-0.034, 0.000, 0.000);0.05184597;VALID;(0.029, 0.037, 0.999);(0.034, 0.000, 0.000);0.05402553;2;0.647536;None;(0.000, 0.000, 0.000)
5876092;1000114274693977976;63789618981319;(-0.885, 1.638, 2.874);(-0.009, 0.999, -0.032, -0.002);(0.000, 0.000, 0.000);(-0.885, 1.638, 2.874);(-0.004, -0.064, -0.998);VALID;(0.037, 0.035, 0.999);(0.000, 0.000, 0.000);VALID;(0.046, 0.033, 0.998);(-0.034, 0.000, 0.000);0.05176324;VALID;(0.028, 0.037, 0.999);(0.034, 0.000, 0.000);0.05408669;2;0.6580682;None;(0.000, 0.000, 0.000)
5876093;1000114274698979454;63789618981319;(-0.885, 1.638, 2.874);(-0.009, 0.999, -0.032, -0.002);(0.000, 0.000, 0.000);(-0.885, 1.638, 2.874);(-0.004, -0.064, -0.998);VALID;(0.037, 0.035, 0.999);(0.000, 0.000, 0.000);VALID;(0.046, 0.033, 0.998);(-0.034, 0.000, 0.000);0.05178357;VALID;(0.028, 0.036, 0.999);(0.034, 0.000, 0.000);0.05411403;2;0.671456;None;(0.000, 0.000, 0.000)
5876094;1000114274703980927;63789618981319;(-0.885, 1.638, 2.874);(-0.009, 0.999, -0.032, -0.002);(0.000, 0.000, 0.000);(-0.885, 1.638, 2.874);(-0.004, -0.064, -0.998);VALID;(0.037, 0.035, 0.999);(0.000, 0.000, 0.000);VALID;(0.045, 0.033, 0.998);(-0.034, 0.000, 0.000);0.05179925;VALID;(0.028, 0.036, 0.999);(0.034, 0.000, 0.000);0.05437865;2;0.6701439;None;(0.000, 0.000, 0.000)
5876095;1000114274708982396;63789618981319;(-0.885, 1.638, 2.874);(-0.009, 0.999, -0.032, -0.002);(0.000, 0.000, 0.000);(-0.885, 1.638, 2.874);(-0.004, -0.064, -0.998);VALID;(0.036, 0.035, 0.999);(0.000, 0.000, 0.000);VALID;(0.044, 0.033, 0.998);(-0.034, 0.000, 0.000);0.05182383;VALID;(0.027, 0.036, 0.999);(0.034, 0.000, 0.000);0.05636276;2;0.5893897;None;(0.000, 0.000, 0.000)
5876096;1000114274713983861;63789618981319;(-0.885, 1.638, 2.874);(-0.009, 0.999, -0.032, -0.002);(0.000, 0.000, 0.000);(-0.885, 1.638, 2.874);(-0.004, -0.064, -0.998);VALID;(0.035, 0.034, 0.999);(0.000, 0.000, 0.000);VALID;(0.043, 0.032, 0.999);(-0.034, 0.000, 0.000);0.05184107;VALID;(0.026, 0.036, 0.999);(0.034, 0.000, 0.000);0.05629148;2;0.5832735;None;(0.000, 0.000, 0.000)
5876097;1000114274718985428;63789618981319;(-0.885, 1.638, 2.874);(-0.009, 0.999, -0.032, -0.002);(0.000, 0.000, 0.000);(-0.885, 1.638, 2.874);(-0.004, -0.064, -0.998);VALID;(0.034, 0.034, 0.999);(0.000, 0.000, 0.000);VALID;(0.042, 0.032, 0.999);(-0.034, 0.000, 0.000);0.05185505;VALID;(0.026, 0.036, 0.999);(0.034, 0.000, 0.000);0.05625089;2;0.5897347;None;(0.000, 0.000, 0.000)
5876098;1000114274723987044;63789618981319;(-0.885, 1.638, 2.874);(-0.009, 0.999, -0.032, -0.002);(0.000, 0.000, 0.000);(-0.885, 1.638, 2.874);(-0.004, -0.064, -0.998);VALID;(0.033, 0.034, 0.999);(0.000, 0.000, 0.000);VALID;(0.042, 0.032, 0.999);(-0.034, 0.000, 0.000);0.05183825;VALID;(0.025, 0.037, 0.999);(0.034, 0.000, 0.000);0.05621352;2;0.5806187;None;(0.000, 0.000, 0.000)
