Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;XRRigPosition;CameraGlobalPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability;GazeHitObject;GazeHitPosition
5884664;1000114317570215904;63789619024208;(-0.892, 1.620, 2.859);(-0.006, 0.998, -0.038, 0.041);(0.000, 0.000, 0.000);(-0.892, 1.620, 2.859);(0.083, -0.076, -0.994);VALID;(-0.257, 0.029, 0.966);(0.000, 0.000, 0.000);VALID;(-0.241, 0.031, 0.970);(-0.034, 0.000, 0.000);0.0614104;VALID;(-0.296, 0.027, 0.955);(0.034, 0.000, 0.000);0.05713945;1.125416;0.7683711;Distance Text Near;(-0.779, 1.605, 2.571)
5884665;1000114317575216627;63789619024208;(-0.892, 1.620, 2.859);(-0.006, 0.998, -0.038, 0.041);(0.000, 0.000, 0.000);(-0.892, 1.620, 2.859);(0.083, -0.076, -0.994);VALID;(-0.257, 0.029, 0.966);(0.000, 0.000, 0.000);VALID;(-0.241, 0.031, 0.970);(-0.034, 0.000, 0.000);0.06144749;VALID;(-0.296, 0.027, 0.955);(0.034, 0.000, 0.000);0.05705951;1.125661;0.7418563;Distance Text Near;(-0.779, 1.605, 2.571)
5884666;1000114317580217348;63789619024208;(-0.892, 1.620, 2.859);(-0.006, 0.998, -0.038, 0.041);(0.000, 0.000, 0.000);(-0.892, 1.620, 2.859);(0.083, -0.076, -0.994);VALID;(-0.257, 0.029, 0.966);(0.000, 0.000, 0.000);VALID;(-0.241, 0.031, 0.970);(-0.034, 0.000, 0.000);0.0614818;VALID;(-0.296, 0.027, 0.955);(0.034, 0.000, 0.000);0.05704591;1.122914;0.7371312;Distance Text Near;(-0.779, 1.605, 2.571)
5884667;1000114317585218068;63789619024208;(-0.892, 1.620, 2.859);(-0.006, 0.998, -0.038, 0.041);(0.000, 0.000, 0.000);(-0.892, 1.620, 2.859);(0.083, -0.076, -0.994);VALID;(-0.257, 0.029, 0.966);(0.000, 0.000, 0.000);VALID;(-0.241, 0.031, 0.970);(-0.034, 0.000, 0.000);0.06151273;VALID;(-0.297, 0.027, 0.955);(0.034, 0.000, 0.000);0.05707947;1.120841;0.7230108;Distance Text Near;(-0.779, 1.605, 2.571)
5884668;1000114317590222246;63789619024208;(-0.892, 1.620, 2.859);(-0.006, 0.998, -0.038, 0.041);(0.000, 0.000, 0.000);(-0.892, 1.620, 2.859);(0.083, -0.076, -0.994);VALID;(-0.257, 0.029, 0.966);(0.000, 0.000, 0.000);VALID;(-0.241, 0.031, 0.970);(-0.034, 0.000, 0.000);0.06154925;VALID;(-0.297, 0.027, 0.955);(0.034, 0.000, 0.000);0.05710624;1.120131;0.7450134;Distance Text Near;(-0.779, 1.605, 2.571)
5884669;1000114317595226409;63789619024209;(-0.892, 1.620, 2.859);(-0.006, 0.998, -0.038, 0.041);(0.000, 0.000, 0.000);(-0.892, 1.620, 2.859);(0.083, -0.076, -0.994);VALID;(-0.257, 0.029, 0.966);(0.000, 0.000, 0.000);VALID;(-0.241, 0.031, 0.970);(-0.034, 0.000, 0.000);0.06158284;VALID;(-0.297, 0.027, 0.955);(0.034, 0.000, 0.000);0.05714169;1.120432;0.7629095;Distance Text Near;(-0.779, 1.605, 2.571)
5884670;1000114317600230558;63789619024209;(-0.892, 1.620, 2.859);(-0.006, 0.998, -0.038, 0.041);(0.000, 0.000, 0.000);(-0.892, 1.620, 2.859);(0.083, -0.076, -0.994);VALID;(-0.257, 0.029, 0.966);(0.000, 0.000, 0.000);VALID;(-0.241, 0.031, 0.970);(-0.034, 0.000, 0.000);0.06163436;VALID;(-0.297, 0.027, 0.955);(0.034, 0.000, 0.000);0.05716293;1.120641;0.7824548;Distance Text Near;(-0.779, 1.605, 2.571)
5884671;1000114317605234693;63789619024209;(-0.892, 1.620, 2.859);(-0.006, 0.998, -0.038, 0.041);(0.000, 0.000, 0.000);(-0.892, 1.620, 2.859);(0.083, -0.076, -0.994);VALID;(-0.258, 0.029, 0.966);(0.000, 0.000, 0.000);VALID;(-0.241, 0.031, 0.970);(-0.034, 0.000, 0.000);0.06166992;VALID;(-0.297, 0.027, 0.955);(0.034, 0.000, 0.000);0.05715213;1.122088;0.7920352;Distance Text Near;(-0.779, 1.605, 2.571)
5884672;1000114317610259184;63789619024209;(-0.892, 1.620, 2.859);(-0.006, 0.998, -0.038, 0.041);(0.000, 0.000, 0.000);(-0.892, 1.620, 2.859);(0.083, -0.076, -0.994);VALID;(-0.258, 0.029, 0.966);(0.000, 0.000, 0.000);VALID;(-0.242, 0.031, 0.970);(-0.034, 0.000, 0.000);0.06169105;VALID;(-0.297, 0.027, 0.954);(0.034, 0.000, 0.000);0.05718138;1.117957;0.7813477;Distance Text Near;(-0.779, 1.605, 2.571)
5884673;1000114317615259712;63789619024209;(-0.892, 1.620, 2.859);(-0.006, 0.998, -0.038, 0.041);(0.000, 0.000, 0.000);(-0.892, 1.620, 2.859);(0.083, -0.076, -0.994);VALID;(-0.258, 0.029, 0.966);(0.000, 0.000, 0.000);VALID;(-0.242, 0.031, 0.970);(-0.034, 0.000, 0.000);0.06169422;VALID;(-0.297, 0.028, 0.954);(0.034, 0.000, 0.000);0.0572537;1.115005;0.8089887;Distance Text Near;(-0.779, 1.605, 2.571)
5884674;1000114317620260238;63789619024209;(-0.892, 1.620, 2.859);(-0.006, 0.998, -0.038, 0.041);(0.000, 0.000, 0.000);(-0.892, 1.620, 2.859);(0.083, -0.076, -0.994);VALID;(-0.258, 0.029, 0.966);(0.000, 0.000, 0.000);VALID;(-0.242, 0.031, 0.970);(-0.034, 0.000, 0.000);0.0617266;VALID;(-0.297, 0.028, 0.954);(0.034, 0.000, 0.000);0.0572313;1.113243;0.8194118;Distance Text Near;(-0.779, 1.605, 2.571)
5884675;1000114317625260762;63789619024209;(-0.892, 1.620, 2.859);(-0.006, 0.998, -0.038, 0.041);(0.000, 0.000, 0.000);(-0.892, 1.620, 2.859);(0.083, -0.076, -0.994);VALID;(-0.258, 0.029, 0.966);(0.000, 0.000, 0.000);VALID;(-0.242, 0.031, 0.970);(-0.034, 0.000, 0.000);0.06175808;VALID;(-0.298, 0.028, 0.954);(0.034, 0.000, 0.000);0.05729215;1.113433;0.8398345;Distance Text Near;(-0.779, 1.605, 2.571)
