
Time;Landmark_name;Landmark_viewPos
7/6/2022 4:18:20 PM;;
7/6/2022 4:21:01 PM;R1L1_Bridge;(0.942, 0.433, 0.960)
7/6/2022 4:21:01 PM;R1L2_Skyscraper1;(0.860, 0.346, 0.971)
7/6/2022 4:21:01 PM;R1L3_Church;(0.579, 0.178, 0.939)
7/6/2022 4:21:01 PM;R1L4_GasStation;(0.385, 0.380, 0.978)
7/6/2022 4:21:01 PM;R1L5_BasketballCourt;(0.142, 0.501, 0.983)
7/6/2022 4:21:01 PM;R1L6_SkyScraper2;(0.404, 0.837, 0.975)
7/6/2022 4:21:01 PM;R1L7_FoodMart;(0.716, 0.574, 0.962)
