
Time;Landmark_name;Landmark_viewPos
7/17/2022 2:23:15 PM;;
7/17/2022 2:24:37 PM;R2L1_Bridge;(0.859, 0.448, 0.968)
7/17/2022 2:24:37 PM;R2L2_Billboard;(0.671, 0.532, 0.980)
7/17/2022 2:24:37 PM;R2L3_Church;(0.575, 0.783, 0.898)
7/17/2022 2:24:37 PM;R2L4_FireStation;(0.456, 0.613, 0.972)
7/17/2022 2:24:37 PM;R2L5_SkyScraper1;(0.195, 0.559, 0.923)
7/17/2022 2:24:37 PM;R2L6_LionStatue;(0.385, 0.301, 0.967)
7/17/2022 2:24:37 PM;R2L7_SkyScraper2;(0.552, 0.343, 0.952)
